RW9sMtmrz2g,VPN groups
ys7q1MVbSP4,Different patterns of sampling visual space in the Drosophila visual system
3Gvpj9ghnH4,Regions of the Drosophila visual system and 15 columnar cell types
5KOUsbmW5f4,Dm14, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
56sko2T2MkQ,Dm-DRA2, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
sgv68FV_nE4,DN1a, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
q_eth9zC2TU,Li33, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
dFJJPharUqA,Li34b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
PwjXJVKHuFs,Li31, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
POz3XuaLzkM,Li34a, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
LpGnmd8GCLM,Li35, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
2c5XaVcAtS0,Li30, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
2GzcoaUDoe0,Li32, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
bJr9VTGGz64,Li38, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
yYk8picoYqM,l-LNv, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
yXd6T0BMiJA,LLPC3, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
weM4NodABqQ,Li36, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
mBOH_VJI3To,LoVC2, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
c2kLAMuywCk,LoVC1, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0
Z5kLPrIXZOw,Li37, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
Z53hb6ljlJ0,LLPC1, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
Wsjk8EbLDLY,LLPC2, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
Aqxqx29vz98,Li39, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
zP6ClpgmEBk,LoVP26, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
ylgSqcg8Wdc,LoVP28, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
xuisidHvl80,LoVC5, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
sH3knm4wxgA,LoVC3, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
kCxL3jBxi4g,LoVP25, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
hBnwtVxL0Fk,LoVP23, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
NEBa-SN7PFg,LoVP27, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
JAOJXGzFgQw,LoVC4, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
GGvncJ-836c,LoVP29, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
1cYGZbY4Srw,LoVP24, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
xEr9NQoiJLg,LoVP33, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
xDwRVfvLbSg,LoVP38, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
lFlr_l14wns,LoVP31, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
kk427S__n38,LoVP39, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
PxhhMrHeFto,LoVP34, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
MeUN8lD9J8I,LoVP30, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
IMbb_4PWmbY,LoVP36, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
4aAGD-1RGyc,LoVP35, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
213nTCn3-Q8,LoVP37, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
tkc5U5aFWAs,LoVP42, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
p-FGCZkI3mQ,LoVP43, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
oy4r0fdFlMk,LoVP47, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
lO9dkwSH5nM,LoVP41, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
gcl2pJEcm8o,LoVP44, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
cs3orvKu6QM,LoVP46, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
TErrYqylaRE,LoVP45, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
RxKm6eOycJg,LoVP49, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
HtsCwO-0NKA,LoVP48, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
-xzVhrUTFdU,LoVP40, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
X8Fkq6KEqUU,LoVP56, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
